i;T_Z;v_z;CX;CY;k;R;D_12;D_23;v_f;v_cruis;k_f;p12;p23;px_1;py_1;pz_1;d_1;phi_1;angle_1;v1;vx1;vy1;setPx1;setPy1;px_2;py_2;pz_2;d_2;phi_2;angle_2;v2;vx2;vy2;setPx2;setPy2;px_3;py_3;pz_3;d_3;phi_3;angle_3;v3;vx3;vy3;setPx3;setPy3;
0;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.176825964583124;5.202305154753768;-0.06354976445436478;-0.023340994492173195;0.027149587869644165;0.13875003958386298;-2.6658303899815503;-2.1602019939342934;0.40257052665812265;-0.3346452831540473;-0.22377569885165316;-0.0970142927697695;-0.04571856437733851;0.5387095212936401;0.13225369155406952;0.007376883644610643;0.5396742063053301;1.5109955746015729;3.2776206558658796;0.3603244682532751;-0.04886320065180422;-0.3569959524197256;0.5338232012284597;0.09655409631209697;0.22358030080795288;0.5873571038246155;0.044865671545267105;0.5361950182141678;0.4301154221757545;2.1799490159850814;0.17280458145581373;0.14172276060042635;-0.0988740739522409;0.2377525768679955;0.5774696964293914;
1;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.181281573002931;5.231125168607274;-0.06064770370721817;-0.02347015030682087;0.03230450302362442;0.13756097550449206;-2.685015237915658;-2.180778119908113;0.4027064766415987;-0.3300817655802208;-0.23069142671658752;-0.09365588026524024;-0.04653929297847962;0.5269802212715149;0.13934871554374695;0.009427553042769432;0.528447230124558;1.496266335087273;3.2083510912585953;0.3615465781709296;-0.02411836071198545;-0.36074122700860606;0.5245683852003163;0.10327459284288634;0.23078405857086182;0.5849125981330872;0.05318521335721016;0.5370302687173414;0.4442061965149604;2.198080620844535;0.17227079086741254;0.13947464786395897;-0.10111403458130051;0.2447315233572577;0.5748011946749572;
2;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.177122649242933;5.2458153414817605;-0.059174273163080215;-0.021233083680272102;0.03999532386660576;0.13490387386211966;-2.6875075867525724;-2.186354283545252;0.402579588538247;-0.3286866694295733;-0.23245515362520713;-0.09204294010603754;-0.04447859904279282;0.5212411880493164;0.14240822196006775;0.011915415525436401;0.5229635105902487;1.4896150624903608;3.1747283466457206;0.3624836796334742;-0.01200895007844675;-0.3622846989849786;0.5200402930414717;0.10617975206156989;0.23504608869552612;0.5838060975074768;0.04946942627429962;0.5378801016922632;0.4522450967925346;2.2102247026133695;0.17200137966347867;0.13802027077946522;-0.10263956089200323;0.24884811577347266;0.5735421414182765;
3;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.165824156436402;5.247433663836114;-0.0631035640835762;-0.024474987760186195;0.05491378903388977;0.1395567353370969;-2.672394322043922;-2.1658180440083363;0.40223353927936434;-0.333104205395108;-0.22546265426739218;-0.096413984623087;-0.04702125318692541;0.5203371047973633;0.14033716917037964;0.02192334458231926;0.5218982562201009;1.4934298343924801;3.173283023219393;0.3631216297934402;-0.011505532647847278;-0.3629393072434199;0.5191865515325785;0.10404323844603765;0.2383376955986023;0.5838751196861267;0.052648432552814484;0.5393885321310747;0.4576781910490078;2.222928607365328;0.1719718097620457;0.1366817433983744;-0.1043666823005032;0.25200586993843976;0.5734384514560764;
4;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.159552334237071;5.237404978203478;-0.06834625452756882;-0.02817809395492077;0.06843031942844391;0.14526126213778992;-2.651728843918763;-2.138356032342005;0.40204060153791515;-0.3390067977658344;-0.21612736141803818;-0.10224693430415226;-0.04979083009672459;0.5260481834411621;0.13317060470581055;0.036107901483774185;0.5270929522563318;1.5078234903183076;3.2132649595247846;0.36293643604971043;-0.02599022632026391;-0.3620046474125533;0.5234491608091357;0.09697013996455522;0.24120043218135834;0.5843420624732971;0.062485359609127045;0.541077519367938;0.4620431613421989;2.235410021651724;0.17215540259472645;0.1355130030628163;-0.10617772197334752;0.25475173248764;0.5737242902759624;
5;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.150258746887782;5.220759992768116;-0.07596001029014587;-0.03155246749520302;0.08188019692897797;0.15190778409072891;-2.6179473705959913;-2.096443530674553;0.4017535920861196;-0.34751660542134805;-0.20158908132764355;-0.11071167083228067;-0.051711375627967376;0.5306255221366882;0.12043118476867676;0.05098908767104149;0.5310187172349811;1.5323113762917908;3.256975392429081;0.36257320938215065;-0.041741926264153656;-0.3601623852561936;0.5264513295102728;0.0844149462430574;0.24455448985099792;0.5815746784210205;0.07604794204235077;0.540112089665276;0.46988606188032106;2.2386167830196766;0.17246196577587156;0.13541252548348404;-0.10680158042586577;0.25809574239934635;0.5708945203784339;
6;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.153037358219343;5.205799712843982;-0.08219113200902939;-0.03722962364554405;0.09201885759830475;0.15996046945049694;-2.6019592515588768;-2.0702859903864486;0.40183954236842057;-0.3527456465346663;-0.19247214515794736;-0.11746569666249601;-0.05647683816133879;0.5328992605209351;0.11050918698310852;0.06419438123703003;0.5330028751093238;1.5510781066604673;3.2854150467891694;0.36169216509074054;-0.051840282209694034;-0.3579578291202007;0.5277152322999656;0.07471340407108845;0.24591749906539917;0.5797267556190491;0.08544573187828064;0.5390855000863587;0.47369251232486287;2.237483923692534;0.1727394838648918;0.1357515240708857;-0.1068197219540519;0.25949265147248773;0.5690447834236438;
7;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.147321843240526;5.193079612341517;-0.08927743881940842;-0.041629429906606674;0.09913631528615952;0.16741970164178296;-2.579148685792385;-2.0377308635961517;0.4016626155228833;-0.35866559780792606;-0.18080886498666654;-0.12514399860020103;-0.05971031640527333;0.5333759188652039;0.10139913856983185;0.07933572679758072;0.5333777539549602;1.5681731574481412;3.304334254192785;0.36134248434047395;-0.05854622239539863;-0.3565679890744179;0.527521296625664;0.06574233966239006;0.24681100249290466;0.5763247609138489;0.0990990474820137;0.5364708275490736;0.4780674626100716;2.2292360455550484;0.17297693575258996;0.1368157448122897;-0.10584173219394162;0.26049257697413364;0.5657405876944547;
8;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.1439679700762;5.196833095498871;-0.09411223232746124;-0.046095188707113266;0.10386016964912415;0.1737841087010693;-2.5693166427195155;-2.019327033158575;0.4015585590130387;-0.3618384833990226;-0.17413267426914267;-0.1302960806673635;-0.06350845613402753;0.5321364998817444;0.0979486033320427;0.08581429719924927;0.5321404539542949;1.5746513273566844;3.3047875816369117;0.3616972880808941;-0.0587655039280559;-0.3568915013742341;0.5262599494889388;0.062259453194619285;0.2503809630870819;0.5713449716567993;0.10628955066204071;0.5337196913948029;0.4882991156759692;2.226123108813719;0.1729067246983649;0.1370888932479247;-0.10537253339450113;0.2640898524118744;0.5608077183173492;
9;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.136065199287067;5.203254182592519;-0.09917394816875458;-0.04978611692786217;0.11236969381570816;0.17964229128940104;-2.556755655607319;-1.9986583365713808;0.40131267852448527;-0.36513632193834067;-0.16651526160036295;-0.13568758036258866;-0.06643764308789846;0.5341570973396301;0.09545249491930008;0.08959367126226425;0.5341764544050571;1.5793095436797484;3.3193533929794468;0.36240918950405315;-0.06408338328425885;-0.3566983888719256;0.5277487590112042;0.059782656032107515;0.25409507751464844;0.5658058524131775;0.11453788727521896;0.5306028652010297;0.4993784190926816;2.222011378035515;0.1727868924651045;0.13742568836993407;-0.10473533493428736;0.26783764635164187;0.5553323189197488;
10;0.2;0.05;0;0.1;5.0;0.5;2.0943951023931953;2.0943951023931953;0.2;0.3;0.5;4.140666475911975;5.2088251283927605;-0.10199778527021408;-0.05296768248081207;0.11499477922916412;0.18385499743977382;-2.5535025693214988;-1.989441672344846;0.40145595708226967;-0.36678641206540574;-0.1632011439942365;